,City,Total_Days2020,Poor_Days2020,AQI_Median2020,Zone2020,Total_Days2010,Poor_Days2010,AQI_Median2010,Zone2010,Scale2020,Poorday_Rate2020,Scale2010,Poorday_Rate2010
0,Seattle,306,14,42,west,365,3,41,west,0.8360655737704918,16,1.0,3
1,San Francisco,314,22,45,west,365,14,48,west,0.8579234972677595,25,1.0,14
2,Los Angeles,275,119,81,west,365,115,77,west,0.7513661202185792,158,1.0,115
3,Honolulu,366,0,26,west,365,1,38,west,1.0,0,1.0,1
4,Anchorage,366,0,22,west,365,5,32,west,1.0,0,1.0,5
5,Denver,366,34,58,mountain,365,38,61,mountain,1.0,34,1.0,38
6,Salt Lake City,366,21,50,mountain,365,24,51,mountain,1.0,21,1.0,24
7,Phoenix,366,70,75,mountain,365,59,74,mountain,1.0,70,1.0,59
8,Twin Falls,272,7,18,mountain,351,1,24,mountain,0.7431693989071039,9,0.9616438356164384,1
9,Albuquerque,366,10,54,mountain,365,5,60,mountain,1.0,10,1.0,5
10,Chicago,366,28,56,central,365,43,71,central,1.0,28,1.0,43
11,St. Louis,366,11,54,central,365,103,74,central,1.0,11,1.0,103
12,Dalas,306,24,49,central,365,28,52,central,0.8360655737704918,28,1.0,28
13,Columbus,366,3,41,central,365,23,51,central,1.0,3,1.0,23
14,New Orleans,366,0,44,central,365,72,63,central,1.0,0,1.0,72
15,Boston,306,0,42,east,365,10,47,east,0.8360655737704918,0,1.0,10
16,Washington D.C.,366,3,42,east,365,50,55,east,1.0,3,1.0,50
17,Miami,275,2,44,east,365,6,48,east,0.7513661202185792,2,1.0,6
18,Trenton,366,3,38,east,365,33,44,east,1.0,3,1.0,33
19,Portland,366,0,39,east,365,8,38,east,1.0,0,1.0,8
